"","Number of wins","Base Hits by batters (1B,2B,3B,HR)","Doubles by batters (2B)","Triples by batters (3B)","Homeruns by batters (4B)","Walks by batters","Strikeouts by batters","Stolen bases","Caught stealing","Batters hit by pitch (get a free base)","Hits allowed","Homeruns allowed","Walks allowed","Strikeouts by pitchers","Errors","Double Plays"
"339",75,1465,237,46,53,569,562,76,53,53.54,1541,56,599,591,177,208
"340",87,1485,217,57,108,701,621,43,37,55.87,1562,114,737,653,144,181
"341",100,1537,290,42,126,860,577,40,18,61.16,1606,132,899,603,121,182
"342",101,1578,286,38,138,878,536,45,26,61.1,1660,145,924,564,126,218
"343",99,1751,302,64,169,756,612,34,18,61,1842,178,795,644,117,190
"344",92,1502,245,34,134,795,625,21,22,56.21,1580,141,836,657,145,194
"345",80,1408,245,36,119,570,777,62,49,51.44,1481,125,600,817,150,190
"346",89,1466,270,39,107,525,636,35,48,56.78,1552,113,556,673,156,183
"347",73,1511,257,43,129,688,694,54,32,56.24,1589,136,724,730,185,171
"348",88,1464,254,41,144,744,771,45,18,55.46,1540,151,783,811,143,147
"349",86,1452,243,34,161,656,777,31,22,56.88,1527,169,690,817,157,188
"350",83,1404,241,32,163,671,863,31,23,55.88,1477,171,706,908,153,181
"351",79,1404,261,29,131,659,852,72,26,55.15,1477,138,693,896,137,176
"352",68,1430,246,34,130,600,839,36,29,54.46,1504,137,631,883,147,164
"353",76,1401,251,37,112,647,847,56,36,54.71,1401,112,647,847,143,140
"354",76,1412,249,34,172,478,960,27,16,54.31,1421,173,481,966,133,120
"355",72,1425,253,29,186,504,917,18,16,54.34,1425,186,504,917,136,123
"356",62,1378,244,40,165,607,964,47,24,50.92,1378,165,607,964,159,129
"357",72,1318,228,44,145,542,1020,35,24,58.53,1318,145,542,1020,153,153
"358",92,1394,216,39,158,522,1020,68,59,54.44,1394,158,522,1020,142,142
"359",86,1253,207,17,125,582,974,76,62,58.97,1253,125,582,974,128,147
"360",87,1381,234,37,197,658,923,41,47,50.94,1381,197,658,923,157,178
"361",85,1360,246,28,161,552,871,51,34,53.29,1360,161,552,871,116,149
"362",89,1472,235,30,147,581,799,114,45,52.66,1472,147,581,799,127,162
"363",84,1449,236,31,109,569,811,104,58,51.85,1449,109,569,811,145,156
"364",96,1519,288,45,136,572,750,67,59,53.41,1538,138,579,759,137,144
"365",83,1448,257,53,134,500,832,95,70,55.96,1448,134,500,832,139,148
"366",98,1484,268,46,171,578,830,74,51,54.74,1475,170,574,825,145,170
"367",92,1587,314,34,196,518,717,61,44,55.04,1607,198,524,726,144,168
"368",84,1608,301,36,164,481,729,80,49,53.22,1628,166,487,738,151,209
"369",89,1536,271,31,136,547,736,42,39,55.76,1536,136,547,736,121,172
"370",78,1512,287,32,142,536,758,30,26,56.76,1512,142,536,758,130,168
"371",81,1615,292,31,162,562,816,66,27,50.8,1615,162,562,816,145,161
"372",78,1554,273,26,174,606,825,77,45,57.09,1554,174,606,825,110,158
"373",83,1571,326,30,108,643,755,56,35,58.61,1571,108,643,755,127,162
"374",88,1502,298,31,106,598,795,53,52,57.4,1502,106,598,795,123,154
"375",84,1486,305,25,126,593,820,59,39,56.17,1486,126,593,820,116,165
"376",73,1343,259,21,84,591,865,44,48,55.64,1343,84,591,865,139,170
"377",80,1451,319,29,114,508,871,73,38,58.7,1451,114,508,871,122,155
"378",76,1462,313,27,169,569,1018,114,54,63.65,2060,238,802,1434,114,175
"379",97,1574,322,35,197,630,1038,111,50,57.36,1771,222,709,1168,135,170
"380",85,1631,308,31,209,642,1020,91,44,56.34,1631,209,642,1020,135,152
"381",78,1684,373,32,185,514,1044,68,48,55.28,1684,185,514,1044,136,179
"382",92,1568,338,35,205,541,1049,72,39,59.71,1568,205,541,1049,105,128
"383",94,1551,334,42,176,597,928,67,39,58.32,1551,176,597,928,127,131
"384",85,1503,316,32,167,611,1019,43,30,42,1503,167,611,1019,109,120
"385",83,1502,318,29,199,523,1138,46,35,70,1511,200,526,1145,114,130
"386",93,1560,348,33,177,545,944,80,28,72,1560,177,545,944,104,140
"387",95,1667,371,40,238,620,943,88,35,53,1667,238,620,943,113,130
"388",98,1613,373,25,222,659,1189,68,30,69,1613,222,659,1189,118,129
"389",95,1579,339,21,199,653,1044,45,12,47,1579,199,653,1044,109,135
"390",86,1510,327,16,192,672,1056,51,23,66,1510,192,672,1056,66,174
"391",39,1620,201,44,0,83,105,74,61,52.62,7093,0,363,460,1567,97.19
"392",51,1764,180,81,18,159,129,54,27,53.04,5292,54,477,387,1515,106.89
"393",65,1464,147,32,3,94,0,101.8,65.4,52.9,4312,9,277,0,1473,85.14
"394",86,1379,250,48,28,190,1170,260.91,111.54,58.8,2050,42,282,1739,941,103.49
"395",43,1258,190,77,21,537,746,298,140.78,57.02,2059,34,879,1221,645,108.51
"396",102,1640,280,95,68,819,546,517,90.94,54.58,2060,85,1029,686,576,130.35
"397",81,1475,237,89,44,425,700,231,122.94,52.45,1552,46,447,736,297,126
"398",75,1437,218,80,38,504,697,265,131.9,55.63,1532,41,537,743,304,110
"399",96,1522,218,112,4,162,652,321.03,131.88,57.65,3161,8,336,1354,687,129
"400",47,1322,205,73,6,178,646,257.3,126.92,56.43,2612,12,352,1276,796,109
"401",88,1556,306,98,23,211,527,304.63,119.33,52.52,3037,45,412,1029,796,94
"402",87,1655,282,91,35,224,440,312.25,107.95,51.07,3192,68,432,849,608,81
"403",87,1767,307,99,13,246,571,325.35,129.85,52.84,2951,22,411,954,743,106.62
"404",93,1604,238,101,57,314,668,308.56,101.55,56.08,2341,83,458,975,676,123.02
"405",55,1418,216,72,33,259,550,302.55,117.81,52.86,2051,48,375,796,671,109.5
"406",93,1662,228,114,42,616,453,334,107.82,52.37,2040,52,756,556,652,121.78
"407",53,1426,169,132,25,224,685,323.24,122.83,54.16,2382,42,374,1144,894,112.14
"408",104,1352,161,144,60,294,606,374.73,114.4,55.58,2028,90,441,909,650,119.57
"409",53,1316,229,57,8,73,423,257.54,114.53,51.46,2600,16,144,836,800,83
"410",91,1400,251,100,14,147,457,283.94,127.81,52.51,2700,27,284,881,636,100
"411",69,1535,231,75,14,255,432,319.39,127.86,53.99,2960,27,492,833,671,131
"412",83,1415,275,79,40,241,516,277.95,113.79,55.88,2795,79,476,1019,701,140
"413",92,1423,307,63,13,232,625,313.66,129.62,52.78,2377,22,387,1044,650,103.92
"414",51,1351,213,71,23,246,833,268.19,124.41,56.98,1954,33,356,1205,741,105.72
"415",23,1458,220,35,0,93,0,64.97,43.24,52.12,16871,0,1076,0,1898,97.27
"416",56,1832,196,223,39,145,140,101,57.89,53.86,10234,218,810,782,1246,114.92
"417",44,2003,272,44,0,125,96,88,22,54.7,14749,0,920,707,1237,104.16
"418",128,2273,322,79,20,172,110,246.11,96.75,52.98,5579,49,422,270,692,81
"419",71,1738,217,82,0,157,305,266.41,119.25,53.05,4772,0,431,837,859,118
"420",81,1828,246,54,8,238,424,300.82,110.25,56.16,4936,22,643,1145,821,100
"421",94,1657,342,66,6,150,603,295.07,120.66,56.78,3398,12,308,1237,781,107
"422",129,1689,316,75,8,201,419,324.53,126.03,53.15,3257,15,388,808,635,79
"423",108,1770,303,69,23,270,432,333.49,108.74,54.38,3414,44,521,833,596,104
"424",106,1720,403,104,29,274,505,335.8,113.22,56.51,3317,56,528,974,725,104
"425",98,1653,458,101,21,213,660,347.99,120.46,54.71,2733,35,352,1091,898,104.58
"426",90,1701,234,72,205,382,678,190.93,85.62,59.02,2460,297,553,981,861,139.22
"427",126,1561,266,108,78,492,621,314.89,97.58,54.91,2258,113,712,898,719,130.32
"428",118,1598,259,114,69,601,670,278,91.52,55.11,2088,90,785,875,621,127.25
"429",95,1576,238,131,107,545,536,511,92.96,53.07,2110,143,730,718,632,125.91
"430",92,1441,176,114,92,348,676,344,108.86,52.85,1729,110,418,811,500,124.64
"431",82,1564,226,81,97,636,633,298,97.13,54.69,1919,119,781,777,568,129.13
"432",98,1480,191,106,72,631,548,286,105.19,55.16,1776,86,757,658,476,125.18
"433",78,1318,165,102,29,474,535,259,155.89,55.83,1462,32,526,594,470,114.08
"434",70,1908,325,106,80,609,366,401,87.53,50.94,2342,98,747,449,555,125.26
"435",90,1659,230,123,43,518,367,420,106.67,52.46,2100,54,656,464,464,119.51
"436",72,1664,232,119,47,528,389,324,100.52,51.65,2042,58,648,477,484,121.37
"437",92,1545,189,91,19,514,426,238,137.67,54.24,1669,21,555,460,445,126.74
"438",82,1563,189,90,30,444,374,270,122.04,53.77,1711,33,486,409,468,129.85
"439",75,1477,234,59,38,397,443,219,112.52,55.43,1709,44,459,513,484,113
"440",62,1457,178,71,21,366,620,238,143.04,51.54,1698,24,427,723,392,101
"441",80,1419,155,47,7,417,668,263,146.01,55.33,1678,8,493,790,368,131
"442",96,1526,224,73,11,495,578.74,304,142.43,54.45,1791,13,581,678.69,369,92
"443",98,1370,166,66,23,316,636.74,240,156.94,53.87,1451,24,335,712.15,299,94
"444",97,1322,166,87,13,474,748.97,283,174.31,56.37,1400,14,502,839.06,260,105
"445",124,1403,193,76,21,477,640.95,302,149.97,57.6,1495,22,508,699.59,203,107
"446",114,1305,173,51,14,464,762.72,250,151.74,58.45,1391,15,495,820.87,225,117
"447",104,1333,206,59,20,440,651.96,223,138.88,55.91,1402,21,463,686.34,217,80
"448",110,1299,215,64,21,445,649.59,198,137.79,56.24,1375,22,471,701.23,258,101
"449",109,1402,230,88,36,570,527,182,127.61,54.94,1475,38,600,554,241,116
"450",97,1404,229,106,57,615,649,225,110.58,53.44,1477,60,647,683,274,120
"451",98,1510,265,97,46,605,664,177,106.21,55.02,1631,50,653,717,269,135
"452",93,1365,206,102,62,587,671,192,109,53.23,1445,66,622,710,275,112
"453",82,1293,209,78,44,527,607,173,126.59,54.67,1360,46,554,639,326,92
"454",71,1310,205,59,49,422,701,141,99.51,53.76,1387,52,447,742,293,110
"455",105,1440,206,67,26,450,431,200,110.69,56.81,1808,33,565,541,236,114
"456",87,1358,192,67,24,345,415,174,119.23,53.45,1571,28,399,480,215,101
"457",68,1644,248,59,39,363,396,74,103,53.41,1741,41,384,419,176,137
"458",84,1645,261,75,44,552,470,102,114,52.49,1730,46,581,494,212,162
"459",87,1595,256,55,95,479,510,190,150,55.88,1678,100,504,536,219,151
"460",86,1502,219,62,70,497,552,145,158,54.04,1590,74,526,584,231,162
"461",72,1550,267,74,90,418,494,99,74,53.9,1631,95,440,520,208,169
"462",86,1528,306,52,69,468,470,89,59.02,54.13,1607,73,492,494,170,183
"463",90,1594,282,67,78,509,521,69,57.73,52.77,1688,83,539,552,192,161
"464",96,1536,264,67,97,534,544,87,56.53,55.07,1616,102,562,572,164,185
"465",104,1764,330,49,148,628,604,110,53.99,52.81,1880,158,669,644,164,180
"466",95,1811,321,76,180,619,668,74,46.97,50.58,1905,189,651,703,179,176
"467",88,1660,358,69,88,607,674,52,40.12,53.73,1746,93,639,709,178,148
"468",95,1598,311,63,73,419,541,50,50.18,52.46,1681,77,441,569,182,154
"469",92,1603,282,47,108,402,676,63,49.28,52.72,1720,116,431,725,147,145
"470",105,1663,319,65,93,488,495,69,56.04,54.66,1749,98,513,521,196,171
"471",98,1617,266,78,101,566,522,75,57.59,55.04,1701,106,595,549,159,148
"472",95,1529,258,75,69,556,507,52,48.61,54.67,1630,74,593,540,144,161
"473",88,1480,277,65,96,550,582,64,52.39,53.99,1557,101,579,612,196,133
"474",79,1516,286,50,90,507,595,66,60.56,53.49,1595,95,533,626,209,150
"475",74,1392,251,26,104,588,705,41,40.11,54.11,1464,109,619,742,189,146
"476",72,1431,236,43,79,535,639,66,49.5,52.12,1505,83,563,672,178,178
"477",78,1461,219,59,55,608,553,56,47.09,54.03,1547,58,644,586,177,146
"478",79,1499,248,48,75,547,548,56,46.31,54.35,1577,79,575,576,195,159
"479",103,1541,241,55,60,583,486,73,55.87,57.7,1621,63,613,511,125,130
"480",87,1423,236,53,59,620,634,46,44,54.51,1507,62,656,671,155,126
"481",73,1444,243,50,75,495,608,23,37.04,56.21,1519,79,521,640,158,167
"482",67,1475,237,46,92,466,608,41,41.1,53.18,1552,97,490,640,181,160
"483",64,1405,223,56,102,417,603,56,50.97,52.12,1478,107,439,634,197,168
"484",68,1374,237,50,170,507,812,49,40.37,51.39,1455,180,537,860,210,179
"485",65,1396,210,49,108,502,681,66,32,51.91,1469,114,528,716,190,169
"486",81,1481,235,47,113,444,749,53,42,55.71,1558,119,467,788,154,129
"487",68,1443,215,60,144,541,785,52,22,52.12,1518,151,569,826,203,148
"488",67,1485,241,47,167,503,729,48,33,51.99,1562,176,529,767,162,173
"489",76,1363,198,58,174,453,853,39,37,55.84,1443,184,480,903,156,156
"490",63,1348,212,53,149,469,816,58,40,52.05,1418,157,493,858,150,148
"491",65,1380,235,33,155,485,1040,29,26,58.96,1452,163,510,1094,144,147
"492",76,1475,218,52,191,512,897,41,24,55.53,1552,201,539,944,158,169
"493",78,1390,220,46,171,524,958,34,20,54.68,1462,180,551,1008,147,149
"494",63,1360,224,50,125,559,944,54,36,52.75,1431,131,588,993,150,140
"495",67,1435,250,54,185,567,1080,37,26,56.9,1510,195,596,1136,193,184
"496",59,1398,196,56,126,504,1044,78,50,52.4,1398,126,504,1044,146,171
"497",82,1286,205,44,127,439,1049,68,60,53.36,1286,127,439,1049,155,172
"498",72,1316,202,33,134,532,948,65,47,54.18,1316,134,532,948,171,166
"499",59,1418,203,43,140,457,998,76,47,54.06,1418,140,457,998,166,132
"500",88,1382,212,49,129,512,918,63,50,53.66,1391,130,515,924,122,144
"501",92,1400,215,40,142,559,928,30,32,53.45,1400,142,559,928,136,149
"502",84,1424,228,44,179,607,844,39,16,54.01,1424,179,607,844,137,146
"503",83,1401,202,34,128,527,772,44,32,56.35,1401,128,527,772,126,150
"504",89,1407,215,42,139,591,852,72,49,49.64,1471,145,618,890,138,155
"505",77,1330,202,21,118,579,860,65,58,55.41,1338,119,583,865,158,156
"506",66,1397,221,42,110,621,857,78,73,50.57,1397,110,621,857,199,141
"507",75,1419,229,41,95,650,802,67,55,52.57,1419,95,650,802,178,152
"508",75,1386,216,24,105,490,834,74,74,55.68,1386,105,490,834,140,145
"509",81,1489,271,37,111,534,796,64,45,58.18,1489,111,534,796,153,147
"510",79,1461,224,48,72,562,746,110,58,53.8,1461,72,562,746,144,154
"511",80,1494,250,43,135,478,762,73,52,57.06,1494,135,478,762,159,163
"512",60,1318,217,46,90,538,961,113,64,56.39,2073,142,846,1511,178,162
"513",73,1436,239,46,102,460,869,132,70,56.07,1436,102,460,869,132,110
"514",71,1436,272,42,140,470,868,84,40,54.89,1436,140,470,868,115,164
"515",97,1424,241,47,137,571,973,155,66,55.14,1433,138,575,979,122,138
"516",77,1406,240,28,151,565,943,183,49,50.46,1415,152,569,949,135,151
"517",71,1427,261,27,157,514,978,134,63,62.76,1445,159,520,990,126,149
"518",76,1484,246,33,210,507,1071,110,48,57.39,1493,211,510,1078,131,155
"519",77,1481,262,46,113,403,910,120,46,57.45,1481,113,403,910,125,128
"520",93,1438,235,45,124,472,921,136,57,56.53,1438,124,472,921,119,130
"521",77,1474,240,36,136,406,869,151,50,51.34,1474,136,406,869,122,136
"522",78,1412,235,26,161,448,890,125,65,52.7,1430,163,454,901,114,122
"523",84,1521,259,32,161,446,923,100,43,54.18,1521,161,446,923,115,162
"524",70,1455,271,37,156,522,1075,99,76,63.62,2086,224,748,1541,116,158
"525",82,1479,300,44,178,495,1072,118,42,63,1664,200,557,1206,129,129
"526",76,1388,267,19,175,523,1090,108,50,62.28,1388,175,523,1090,104,147
"527",68,1444,269,39,127,451,1003,116,60,61.13,1444,127,451,1003,115,117
"528",89,1485,248,34,211,597,1215,65,44,68.99,1476,210,593,1208,100,106
"529",67,1411,255,35,189,571,1170,60,44,54.85,1411,189,571,1170,139,135
"530",65,1426,272,23,183,632,1120,93,37,54,1426,183,632,1120,100,139
"531",88,1409,268,32,194,577,1077,67,36,66,1409,194,577,1077,109,113
"532",67,1351,259,29,200,585,1269,63,21,44,1351,200,585,1269,114,144
"533",88,1431,302,24,172,492,1158,73,31,50,1431,172,492,1158,106,157
"534",89,1508,308,29,235,489,1080,66,28,38,1508,235,489,1080,86,126
"535",79,1506,323,23,194,419,920,65,39,50,1506,194,419,920,101,136
"536",66,1496,271,46,166,395,928,121,49,43,1496,166,395,928,106,122
"537",92,1382,239,53,55,547,679,180,101.93,52.42,1454,58,575,714,262,119
"538",92,1407,197,82,53,473,629,172,103.34,55.7,1500,56,504,670,242,109
"539",89,1550,236,112,37,582,485,326,119.66,52.72,1833,44,688,574,582,120.41
"540",89,1509,206,60,17,497,461,320,132.13,53.94,1824,21,601,557,313,151
"541",71,1362,208,58,17,384,635,213,138.7,54.64,1611,20,454,751,351,101
"542",98,1293,213,59,12,468,649.3,207,137.48,57.74,1378,13,499,708.98,231,68
"543",100,1216,163,56,8,486,679.13,230,164.06,57.77,1305,9,521,790.68,261,86
"544",93,1293,160,35,5,452,758.58,188,136.58,58.26,1387,5,485,1103.34,249,108
"545",94,1201,155,44,3,493,836.48,223,154.5,60.21,1280,3,525,1510.26,248,87
"546",83,1183,155,60,4,470,808.5,225,155.64,60.38,1261,4,501,1483.61,263,108
"547",83,1503,192,99,21,413,596.33,216,141.16,53.26,1612,23,443,653.76,274,105
"548",83,1214,167,70,26,424,586,166,141.75,54.4,1294,28,452,625,272,111
"549",74,1268,169,75,20,429,641,176,160,53.72,1334,21,451,674,303,95
"550",98,1335,171,107,26,613,605,245,193,55,1404,27,645,636,234,100
"551",94,1343,204,105,18,470,622,207,135.36,55.98,1413,19,494,654,216,141
"552",105,1348,160,85,19,549,504,230,148.85,55.49,1418,20,578,530,210,123
"553",74,1381,178,72,10,490,468,152,116.66,53.54,1804,13,640,611,218,128
"554",101,1656,277,103,39,495,371,118,101,54.04,1742,41,521,390,204,149
"555",65,1587,255,86,37,468,499,102,98,53.13,1669,39,492,525,209,163
"556",81,1539,256,65,47,507,487,112,88,58.16,1619,49,533,512,161,139
"557",73,1539,267,60,44,560,482,201,125,53.42,1619,46,589,507,190,145
"558",70,1601,269,61,43,640,443,146,91,54.25,1695,46,678,469,244,144
"559",83,1559,315,62,40,696,426,136,93,51.89,1640,42,732,448,208,170
"560",86,1597,332,64,34,589,403,128,82,52.87,1691,36,624,427,170,129
"561",74,1517,302,65,38,522,412,95,79,52.68,1606,40,553,436,191,139
"562",76,1478,243,81,25,493,513,146,86,55.62,1555,26,519,540,194,157
"563",63,1499,256,79,39,453,465,116,69,56.07,1598,42,483,496,203,163
"564",65,1574,269,95,66,409,504,78,42,54.04,1656,69,430,530,245,143
"565",59,1507,252,73,29,511,471,100,41,55.16,1596,31,541,499,260,139
"566",53,1530,294,60,39,492,414,95,62,51.48,1641,42,528,444,286,182
"567",72,1564,249,57,46,581,449,46,50,52.31,1689,50,627,485,201,154
"568",56,1487,253,43,76,602,558,38,29,56.35,1585,81,642,595,221,134
"569",79,1556,279,45,79,618,432,49,30,53.86,1658,84,659,460,155,142
"570",87,1713,303,60,64,734,447,71,31,54.42,1838,69,787,480,180,187
"571",90,1555,295,80,70,578,470,74,36,53.1,1636,74,608,494,183,182
"572",71,1575,262,60,73,563,535,61,43,54.22,1724,80,616,586,213,170
"573",89,1526,231,59,67,609,528,119,64,53.64,1605,70,641,555,176,147
"574",86,1577,250,66,77,522,599,55,63,55.86,1659,81,549,630,195,131
"575",81,1447,258,49,49,536,501,96,56,56.21,1522,52,564,527,189,153
"576",72,1330,234,39,27,544,467,125,77,53.16,1456,30,595,511,189,158
"577",86,1364,203,48,35,590,611,182,92,52.22,1435,37,621,643,175,176
"578",75,1375,221,58,24,462,471,69,49,55.07,1446,25,486,495,193,162
"579",77,1446,222,60,24,511,508,85,59,56.28,1572,26,556,552,196,151
"580",78,1435,217,46,39,527,631,82,67,54.66,1510,41,554,664,182,179
"581",74,1420,222,43,56,518,554,96,60,55.07,1494,59,545,583,163,189
"582",54,1389,183,42,59,634,563,49,50,52.09,1480,63,676,600,164,188
"583",63,1439,181,49,98,580,595,20,23,54.18,1514,103,610,626,142,190
"584",85,1528,241,67,90,627,551,104,74,53.63,1607,95,660,580,159,185
"585",85,1406,209,40,84,569,548,64,40,53.37,1479,88,599,576,129,166
"586",94,1415,238,56,78,632,558,77,58,56.69,1489,82,665,587,131,151
"587",99,1454,214,49,99,635,564,103,61,57.09,1530,104,668,593,114,157
"588",96,1474,215,38,122,596,626,73,47,56.61,1551,128,627,659,117,155
"589",89,1485,229,45,135,651,694,74,35,58.98,1562,142,685,730,128,168
"590",95,1440,219,43,112,666,784,115,54,55.11,1515,118,701,825,113,178
"591",86,1418,201,44,106,545,704,106,35,55.92,1492,112,573,741,119,168
"592",99,1394,231,48,102,610,667,119,56,54.52,1466,107,642,702,137,148
"593",92,1475,255,40,118,596,682,128,50,55.96,1552,124,627,717,115,184
"594",86,1475,216,46,138,550,612,100,40,53.59,1475,138,550,612,128,138
"595",85,1415,250,56,92,620,674,76,40,56.75,1415,92,620,674,110,153
"596",94,1379,208,40,114,571,896,64,28,53.51,1379,114,571,896,130,163
"597",98,1356,184,40,106,562,902,75,39,54.67,1356,106,562,902,122,164
"598",95,1354,200,38,125,533,916,50,33,56.14,1354,125,533,916,126,156
"599",83,1235,193,40,87,476,872,153,78,55.95,1235,87,476,872,160,149
"600",89,1209,181,34,89,480,849,124,82,55.33,1209,89,480,849,137,149
"601",67,1233,169,33,71,397,840,90,50,54.53,1233,71,397,840,151,152
"602",68,1346,210,27,112,552,844,54,22,52.59,1346,112,552,844,122,163
"603",56,1394,192,20,123,477,872,53,33,54.81,1394,123,477,872,165,187
"604",79,1346,185,30,138,562,870,83,65,52.44,1346,138,562,870,160,128
"605",92,1271,179,29,114,538,1042,105,55,57.26,1337,120,566,1096,142,143
"606",77,1400,228,38,111,537,952,83,73,55.7,1400,111,537,952,144,165
"607",81,1511,228,23,137,525,869,65,54,52.94,1530,139,532,880,149,190
"608",75,1409,210,38,95,615,805,102,54,52.61,1418,96,619,810,141,156
"609",64,1419,210,46,73,474,744,121,53,55.71,1428,73,477,749,131,156
"610",90,1568,254,52,192,559,666,42,44,54.95,1568,192,559,666,159,125
"611",71,1432,222,41,107,412,629,84,68,54.09,1441,108,415,633,139,131
"612",74,1524,294,33,129,460,676,98,63,55.59,1543,131,466,684,175,144
"613",71,1426,258,38,92,404,678,69,55,53.14,1444,93,409,686,173,164
"614",83,1501,206,41,116,492,792,131,67,59.43,2294,177,752,1210,133,173
"615",87,1523,266,52,136,533,866,136,58,52.03,1523,136,533,866,154,173
"616",99,1439,270,42,157,527,888,165,50,54.25,1439,157,527,888,120,158
"617",74,1360,225,38,172,523,883,109,49,53.73,1360,172,523,883,122,160
"618",85,1386,247,37,146,471,843,108,56,53.87,1386,146,471,843,111,152
"619",72,1335,197,34,121,487,940,115,54,59.92,1335,121,487,940,117,142
"620",77,1427,283,36,173,487,971,138,52,56.4,1427,173,487,971,115,174
"621",71,1335,225,35,133,449,914,99,46,52.87,1343,134,452,920,155,178
"622",69,1502,264,36,95,467,878,98,52,54.58,1511,96,470,883,152,177
"623",94,1393,251,44,106,478,903,140,90,56.15,1393,106,478,903,124,169
"624",87,1464,226,39,139,610,896,134,74,51.07,1464,139,610,896,116,151
"625",86,1434,269,36,110,622,784,160,57,54.72,1434,110,622,784,129,134
"626",94,1454,228,44,162,604,834,106,57,55.39,1454,162,604,834,112,153
"627",96,1624,251,56,173,713,814,110,39,60.64,2328,248,1022,1167,113,130
"628",77,1594,284,42,164,648,863,124,44,57.64,1793,185,729,971,122,147
"629",85,1586,284,33,195,701,927,105,41,60.47,1586,195,701,927,109,145
"630",80,1516,291,38,198,551,916,127,46,52.45,1516,198,551,916,140,161
"631",75,1573,300,37,163,502,815,111,50,53.12,1583,164,505,820,137,149
"632",95,1615,325,33,216,591,960,119,42,53,1615,216,591,960,133,190
"633",83,1463,300,29,214,520,998,123,59,52,1463,214,520,998,118,149
"634",81,1475,289,29,217,555,952,75,31,49,1475,217,555,952,97,157
"635",86,1445,303,19,220,519,916,77,29,58,1445,220,519,916,93,154
"636",90,1586,291,20,236,502,1056,93,48,58,1586,236,502,1056,90,145
"637",111,1610,192,95,10,207,413,314,133.38,53.68,3260,20,419,836,652,83
"638",101,1589,202,122,56,230,431,382.62,103.79,54.5,2627,93,380,712,595,114.45
"639",101,1541,162,143,54,229,600,387.39,107.16,53.53,2290,80,340,892,612,113.62
"640",91,1513,156,111,38,221,608,323.71,120.03,52.94,2188,55,320,879,603,102.73
"641",76,1438,170,112,53,439,743,217,110.41,53.9,1688,62,515,872,681,117.31
"642",97,1542,215,122,44,458,439,632,110.41,55.18,1850,53,550,527,581,123.34
"643",97,1404,160,99,39,417,671,567,137.52,55.46,1697,47,504,811,551,106.68
"644",89,1523,230,112,61,527,596,538,106.42,53.16,1775,71,614,695,513,116.76
"645",95,1478,184,147,33,531,463,383,137.05,53.64,1814,41,652,568,468,113.82
"646",66,1369,175,106,47,490,519,289,126.35,52.26,1619,56,579,614,484,111.71
"647",89,1391,167,81,48,543,512,292,128.72,52.94,1502,52,586,553,434,113.66
"648",82,1512,204,82,37,673,324,301,121.16,53.89,1914,47,852,410,406,119.85
"649",69,1712,279,83,76,633,314,268,91.32,51.93,2133,95,789,391,523,122.76
"650",82,1738,293,131,45,516,310,406,99.14,51.91,2166,56,643,386,470,113.67
"651",93,1609,269,85,27,466,268,238,111.51,54.79,1975,33,572,329,335,120.22
"652",98,1543,221,108,20,485,320,176,123.49,55.51,1645,21,517,341,346,118.84
"653",90,1554,210,113,14,524,319,246,129.8,52.67,1678,15,566,345,366,122.51
"654",72,1556,207,97,38,388,476,213,111.97,54.57,1813,44,452,555,397,140
"655",86,1630,266,107,33,470,529.03,168,107.49,55.15,1900,38,548,597.95,364,98
"656",93,1410,200,97,22,422,643.45,190,144.64,52.23,1493,23,447,705.56,319,86
"657",84,1483,169,107,29,460,630.62,192,132.93,56.58,1570,31,487,705.04,328,129
"658",69,1285,150,76,17,424,739.49,182,149.4,52.09,1379,18,455,827.67,279,104
"659",70,1298,133,95,16,394,649.33,167,133.64,53.19,1374,17,417,689.48,240,125
"660",77,1166,136,81,15,391,740.64,206,152.26,53.76,1227,16,411,836.12,268,76
"661",79,1395,158,83,24,556,542,326,160.59,52.79,1467,25,585,570,306,108
"662",79,1387,194,94,22,507,521,263,151.14,55.16,1469,23,537,552,262,108
"663",68,1418,180,102,29,485,613,239,149.19,54.37,1501,31,514,649,266,110
"664",63,1239,149,67,17,464,660,236,155.25,54.93,1303,18,488,694,330,119
"665",75,1392,204,88,16,379,539,164,149,53.26,1464,17,399,567,236,156
"666",64,1415,198,93,15,383,607,166,130.95,51.84,1498,16,406,643,241,133
"667",82,1457,206,105,27,328,502,161,117.4,52.82,1533,28,345,528,260,126
"668",86,1500,209,106,19,385,383,162,107.99,54.86,1898,24,487,485,243,161
"669",111,1393,156,96,23,469,426,165,120.31,57.12,1612,27,543,493,176,113
"670",87,1516,179,80,19,404,389,167,136,53.46,1605,20,428,412,212,132
"671",74,1505,234,100,21,397,326,124,127,54.94,1594,22,420,345,204,147
"672",90,1642,238,104,47,459,401,137,143,55.8,1727,49,483,422,216,155
"673",96,1584,249,100,47,462,386,101,110,57.55,1666,49,486,406,212,151
"674",88,1630,250,118,38,370,354,109,104,54.12,1726,40,392,375,230,150
"675",85,1578,234,95,47,433,346,114,113,55.54,1671,50,458,366,215,170
"676",79,1524,235,82,31,426,352,66,69.51,54.19,1614,33,451,373,175,169
"677",83,1544,244,71,34,411,352,88,74.14,54.35,1646,36,438,375,173,207
"678",69,1555,271,83,36,433,365,141,83.38,53.75,1636,38,455,384,170,156
