"TARGET","FixedAcidity","VolatileAcidity","CitricAcid","ResidualSugar","Chlorides","FreeSulfurDioxide","TotalSulfurDioxide","Density","pH","Sulphates","Alcohol","LabelAppeal","STARS"
3,6.9,0.23,0.22,-4.3,0.0778,101,169,0.9646,3.2,1.78,5.5,-1,2
2,-0.4,0.98,0.03,2.3,0.078,16,86,0.99743,3.53,1.44,9.7,-1,2
5,10.6,1.33,0.49,20.6,-0.284,-85,143.72,1.027,2.23,0.1738,4.1,1,2
3,17,-0.055,-0.91,2,0.696,-216,117,0.99738,3.25,0.42,9.6,0,2
4,-2.6,0.19,0.41,-46.3,-0.303,51,158,1.03944,5.09,0.57,9.8,0,1
3,6.9,-0.21,2.49,12.1,0.04,51.985,112,0.98374,3.04,2.35,8.8,0,1
4,6.6,0.8,-1.29,-23.8,0.038,-58,72,0.99623,3.67,-1.02,11,1,2
4,7.4,-1.17,0.95,1.6,-0.437,33,137,0.99261,3.31,0.56,10.5,0,1
6,5.8,0.315,0.27,1.55,0.026,221,70,0.98994,3.37,0.6463,11.4,0,3
2,6.5,-0.26,0.12,-56.7,-0.086,35,280,0.96729,3.22,0.32,9,-1,2
2,1.3,0.29,-1.65,-21.2,0.634,-162,-152,1.01074,3.14,0.5,9.2,-1,2
4,7.3,-1.23,0.28,104.4,0.032,26,-39,0.99172,3.33,1.72,12.3,0,3
5,0.1,-0.93,-1.14,-25.2,0.053,25,329,0.9942,3.01,0.98,13.2,1,3
6,6.4,1.74,0.35,-54.8,0.03,290,101,0.9912,3.36,-0.75,2.6,0,3
1,6.9,0.13,0.24,55,0.102,239,7,0.97231,4.55,0.6253,11.4,-1,2
3,7.3,0.21,1.47,10.9,0.037,-208,490,0.997,3.4,0.5,4.8,-1,1.72
4,-1.5,0.59,0.38,1.5,0.028,36,117,1.06411,3.47,0.54,18,0,1
5,6.9,3.06,0.26,31.3,-0.323,32,180,0.9965,2.32,-2.54,9.2,1,3
6,6.3,0.23,2.42,6.9,0.052,50,118,0.9938,3.23,0.6002,9,2,4
5,6.4,0.92,0.27,5,0.621,-118,151,0.99198,3.22,0.49,17.2,1,1
4,10.1,0.27,0.35,5.3,0.04849,30,402,0.992,4.2,1.72,15.8,0,2
0,11.8,0.33,0.32,12.9,0.054,233,-248,0.99572,4.41,-1.15,5.6,0,1.28
3,6.8,1.04,0.56,11.9,0.357,64,-187,0.997,3.02,0.63,9.3,0,2
3,-11.1,-0.85,0.23,3.4,0.304,37,92,1.04128,3.152,-0.69,14.1,0,2
0,9.3,-0.7,0.39,1.5,0.21,41,55,0.91143,3.47,0.73,16.5,-1,1.3
6,-2,0.17,0.55,1.6,0.083,-186,94,0.9949,3.56,1.47,5.6,2,3
0,14.4,1.86,-1.25,-32.8,-0.788,13,38,0.9998,3.28,0.8422,9.7,0,1
1,8.3,0.65,0.1,4.5,0.089,-63,-61,1.00727,3.29,0.96,9.5,-2,1
6,2.1,-1.06,0.5,5.8,0.038,-102,111,0.99189,4.39,0.7088,13.8,1,3
5,8,0.44,-0.37,1.8,1.25,-70,410,0.98734,3.51,0.5478,12.357,0,2
3,9.1,0.18,1.69,-62.9,0.042,469,245,0.99431,3.54,0.6,10.5,-2,2
3,3.6,0.79,1.5,48.3,-0.498,-194,-610,0.99692,3.18,2.08,9.4,0,1
0,6.6,0.895,0.6,-0.1,0.068,-416,13,0.99582,3.11,0.58,10.8,1,1
5,10.9,-0.45,0.69,-22.1,0.176,332,106,0.98857,2.96,-0.22,13.9,1,2
6,6.7,0.21,-0.34,9.1,0.049,52,-53,1.01852,3.28,2.07,9.9,1,2
6,22.6,0.89,0.03,-53.8,0.281,-118,370,1.00809,3.54,0.27,8.4,0,2.66
0,7.9,0.69,1.29,2.1,0.08,-406,141,0.9962,2.29,0.51,11.4,1,2
0,9,-0.68,-0.02,2.5,0.08,-175,86,0.98702,3.38,1.93,10.8,-1,1.25
4,17.6,-2.71,1.84,33.8,-0.78,26,147,0.9912,3.32,0.41,11.6,-1,1
4,13.1,0.425,0.29,2.2,-0.087,18.45,67,0.97345,3.76,0.49,11,0,3
3,5.7,0.21,1.32,1.6,0.03,277,122,0.99044,3.94,0.52,18.3,-1,2
4,7.7,-0.8,1.55,49.2,0.068,206,385,0.97337,3.68,0.72,9.8,1,1.91
3,-0.5,-1.26,0.49,7,-0.402,11,329,0.94748,4.52,1.44,10.3,-1,1
2,16.4,-0.5,3.01,12.4,0.02523,108,152,0.95562,3.1,0.47,10.2,-2,2
4,-10.7,0.36,0,1.6,-0.034,6,140,0.95078,4.38,0.08,12.9,1,2
4,18.3,0.21,0.37,-45.8,0.042,227,501,0.97401,3.26,0.56,14.4,0,4
4,7.3,0.4,0.31,-27.9,0.04,47,541,0.9918,3.19,0.16,11.4,0,2
4,17.7,0.355,0.35,2,-0.384,31,-241,0.98822,3.06,0.46,17,0,2
0,2.4,1.23,0.69,1.3,0.355,108,171,1.02217,3.06,1.36,10.19366666667,0,1.23
5,1.3,0.15,0.36,43.6,0.635,139,513,0.97172,3.1951,0.69,11,-1,1
0,17.1,0.765,1.36,36.8,0.525,4,14,0.998,2.87,0.6268,9.4,-1,1.25
0,16.3,0.66,0.26,1.7,0.074,-89,23,0.9971,2.35,-0.38,9.2,1,1.16
3,9,0.38,0.3,1.57,0.026,-74,-166,0.993,2.64,0.36,14.7,0,1.74
4,6.1,0.62,0.28,9.8,-0.922,122,125,0.99532,4.1,0.42,14.7,0,2
3,7.2,0.63,0.38,56,0.058,37.42,516,0.9979,3.09,0.44,7.8,-1,2
5,11.7,0.37,0.3,-7.4,0.358,38,93,1.07731,2.88,-0.75,11.7,-1,2
5,8.3,-0.06,0.69,9.2,0.22,41,162,1.0373,4.77,0.38,12,0,2
4,6.8,-1.34,-1.39,30.4,0.046,226,-474,1.00849,2.55,0.55,10.8,0,3
4,6.8,-0.31,0.22,44.3,0.056,175,137,0.9935,2.88,0.42,13.2,1,1
3,-2.3,0.33,1.36,16.05,0.045,-173,161.48,0.99017,3.08,0.52,9.2,0,1
5,5.6,-0.52,0.95,0.9,0.025,11,-155,0.95794,2.53,-1.23,13.1,1,3
3,7,-2.15,0.2,47,0.486,50,184,0.98456,3.38,-0.08,9.4,0,1
3,5.6,0.18,0.85,1.5,0.038,186,134,0.9924,3.34,0.58,10.1225,-1,1.8
4,6.2,-1.03,0.47,11.6,-0.27,62,180.615,0.9968,3.19,-0.68,4.4,1,1
0,12.6,1.9,0.54,2.8,0.103,19,41,0.99939,3.21,0.75,6.9,0,1
4,7.1,0.23,0.39,13.7,0.058,-56,172,1.02252,4.17,-1.25,15.4,0,2.35
5,7.4,0.16,-1.09,-9.6,0.132,299,135,1.03364,3.47,0.43,5,0,3
1,-4.9,0.29,0.2,12.6,-0.091,328,143,0.95301,2.51,0.42,2.8,-2,1.38
0,7.7,0.96,0.2,32.2,0.047,-12,60,0.99413,2.43,0.44,11.5,0,1.22
0,10.7,-0.79,0.68,-27.9,0.114,273,127,0.997,4.59,3.5,13.4,-1,1.25
6,11.9,1.05,0.66,3.1,0.109,128,-266,1.02065,3.15,0.38,10.4,1,4
4,-0.9,0.21,0.12,46.1,-0.415,21,138,0.98758,3.05,0.4096,12.4,1,2
5,17.9,1.88,-0.12,2.4,0.082,-243,-59,1.00577,3.37,0.62,9.5,2,2
3,14.9,-1.5,-2.16,20.8,0.046,68,170,0.99494,2.14,1.47,9.5333333333,-1,1
0,7.7,0.26,-0.9,2,0.075,50,39,1.00022,4.43,0.62,13.5,0,1
5,5.6,0.19,-0.92,-6.6,0.48,12,168,0.9905,3.25,3.7,10.9,0,2
0,7,0.56,-0.56,3.5245,0.221,25,-129,1.03746,4.26,0.59,9.2,-1,1
6,-4.7,0.21,2.01,-6.6,0.344,-134,144,0.9927,3.14,0.39,9.3,1,3
4,-0.6,0.61,0.1,63.1,-0.038,-42,-256,0.9906,3.36,0.51,11.2,-1,1
0,8.8,0.18,1.52,1.25,0.031,-252,172,0.96139,3.94,0.4565,4.4,-1,1.27
0,6.2,0.76,1.28,2.2,0.095,180,186,1.01202,3.91,0.57,11.7,2,1
4,6,0.26,0.27,1.9,0.048,382,170,0.9938,3.89,-0.81,10,-1,3
3,6.8,0.31,0.43,6.9,0.046,253,363,0.99111,3.19,1.98,4.7,0,2
4,18.5,0.53,0.35,15.3,0.507,31,117,0.9998,3.27,1.52,9.6,1,2
4,7,0.15,0.99,15.3,0.171,-55,195,0.9975,4.21,0.42,9.8,0,1
5,-4.4,1.34,-1.25,61.8,0.10234,281,87,0.99346,2.72,0.47,10,1,4
2,9.4,0.31,-1.96,11,0.04,79,48,0.9906,3.57,0.53,12.5,0,1.52
3,6.4,0.24,1.95,11.6,0.03,86,211,1.03515,3.33,0.57,7.2,0,1.66
4,6.6,0.24,0.3,13,0.439,18,142.535,0.95518,3.37,1.64,9.352333333333,0,2
5,-0.8,-0.04,0.28,14.7,0.174,70,-402,1.02574,5.33,0.7322,9,0,3
3,6.1,1.12,0.34,2.8,0.042,59.5,158,0.99179,3.82,0.47,9.8,-1,1
6,11.2,1.72,0.43,38.5,0.539,32,134,0.99378,3.79,1.61,9.9,2,3
3,7.2,-0.96,0.07,1.4,0.279,68,20,0.9973,4.28,1.98,11.2,-1,2
4,6.5,0.52,0.31,117.6,0.036,-119,238,1.03224,3.19,0.91,11.9,-1,3
4,6,-0.78,0.05,1.5,-0.914,127,120,0.9932,3.17,0.56,9.2,0,2
4,7.4,0.98,1.46,18.4,0.201,37,194,1.02293,3.2,-0.68,9.4,0,2
4,1.3,0.15,0.18,8.6,-0.367,76.35,115,0.99166,0.61,-0.81,4.8,1,2
5,7.6,-1.51,-0.35,18.75,0.548,-219,193,1.00014,3.1,1.5,9.3,0,4
0,7.4,0.28,3.52,1.5,0.119,-17,126,0.9918,2.98,0.39,17.2,0,1.33
3,7.8,0.27,1.41,26.5,-0.053,49.005,535,0.94732,3.22,0.44,20.9,0,1.82
6,1.5,0.23,0.4,7.3,-0.061,5,133,0.993,3.95,1.66,11.4,2,3
0,6,0.28,-0.08,3.95,0.038,262,134,0.99146,4.96,0.54,15,0,1.3
3,19.8,0.25,1.36,-1.5345,0.051,146,129,0.9928,3.21,1.76,11.5,-1,1.67
0,-10.1,0.48,-2.43,-22.5,0.073,16,25,0.9936,4.34,1.98,12.4,1,1
4,2.4,-1.19,-0.94,21.4,0.139,62,-330,0.9954,3.25,0.54,10.4,0,2
2,7.2,0.4,0.24,8.5,-0.513,22.56,151,0.99626,3.2,-2.11,12,-1,1
6,-3.5,0.22,0.29,-35.2,-0.469,39,-117,0.98393,3.05,-0.21,9.8,2,3
3,7,0.89,0.18,-40,0.059,25.005,50,0.9951,2.43,0.6,9.8,0,1
4,7.6,0.5,0.44,1.9,-0.137,277,119,0.94915,3.01,0.7,12.8,0,3
3,8.8,0.52,0.34,-29.7,0.087,24,452,0.9982,2.38,0.4451,18.7,0,1.51
6,6.5,-0.19,0.31,12.2,0.12,-35,147,1.01974,3.15,0.31,12,1,3
3,16.6,0.3,0.4,19.5,-0.269,29,175,0.99445,3.19,2.25,9.8,0,3
0,5.9,-0.42,0.23,-5.6,-0.521,38,72,0.99021,4.37,0.49,17.9,0,1
3,6.7,0.15,1.87,49,0.613,236,19,0.96622,3.29,0.31,10,-1,2
4,8.5,-1.18,0.31,1,0.622,-273,52,0.95913,2.79,0.37,10.1,1,1
4,-2.1,0.22,0.38,47,0.334,0,-11,1.02482,2.63,0.32,5.7,-1,2
0,11.2,0.04,-0.83,30.8,0.055,254,375,0.96238,3.34,0.553,13.3,-1,1
7,17.6,0.29,0.36,24.4,0.042,38,346,0.90212,5.35,-0.51,11.2,1,4
3,5.7,1.46,0.73,1.3,-0.046,74,309,0.9928,4.38,0.46,4.5,0,1.77
5,5.8,-0.55,1.26,63.8,0.036,-252,-109,0.97198,3.344,0.59,12.383,1,2
5,6.1,0.72,0.76,-62.2,0.036,38,124,0.9628,3.29,1.31,12.4,0,3
5,6.5,0.3,-1.05,4,0.087,180,28,0.99026,4.32,-0.61,7.6,-1,1
0,4.9,0.32,-0.32,8.1,-0.948,13,105,0.9957,3.96,0.55,13.5,0,1.34
0,7.3,0.97,0,-46.9,0.08,6.185,47.83,0.97108,2.84,1.14,5.4,-1,1.27
3,14.3,0.77,0.58,7.75,0.049,48,212,1.0006,3.2,0.1,8.8135,-1,1
4,6.4,0.2,0.15,6.6,0.292,26,-30,0.95075,2.99,-0.7,9.9,0,1
4,0.6,0.72,0.33,40.8,0.046,-153,-171,0.9902,3.89,0.39,11.45,0,3
4,7.2,0.5,1.86,10.4,0.05,336,192,0.95631,3.16,0.42,12,1,1
7,26.3,-0.46,2.62,3.1,0.74,-19,226,0.99004,3.85,1.96,15.6,2,4
4,-1.4,0.24,-0.94,-53.4,0.047,64.5,181.5,1.03576,3.91,0.58,8.8,0,1
3,6.9,-1.11,0.21,1,0.212,-485,871,0.9927,2.8128,-1.01,8,-1,2
3,7.7,1.62,0.58,115.1,-0.21,125,-43,0.9983,2.39,-0.77,12.3,0,1.77
3,16.4,-0.76,0.27,10.7,0.076,185,200.3,0.9967,3.05,0.64,3.6,0,1.49
0,5.8,1.06,0.21,1.5,0.044,21,228,0.99911,2.14,0.736,11,-1,1.32
4,3.1,0.23,0.29,57.4,-0.164,226,351,1.00089,2.44,0.41,4.7,0,2
3,14.3,1.68,0.35,5.3,0.03,-189,117,0.96414,2.72,0.42,11.5,-1,2
4,8,1.65,0.63,-58.3,0.081,190,121.91,1.0329,3.3,0.78,8.7,0,2.07
4,4.8,0.13,1.03,12.85,-0.332,36,380,0.99581,3.05,0.55,6.3,0,3
0,8.3,0.56,0.53,-14.1,0.074,-226,171,0.98857,3.2,1.13,6.2,0,1.15
3,5.5,0.24,1.37,-14.6,0.06,-69,102,0.994,3.44,-0.83,19.4,0,2
3,6.9,0.4,0.31,25,-0.521,226,-9,0.99358,2.96,0.59,16.8,-1,3
4,5.6,0.18,0.27,6.5,0.147,-104,103,0.98892,3.35,0.6245,15,0,2
6,-1.1,0.65,0.39,-45.2,0.091,42,135,0.9945,3.25,0.4628,13.8,1,4
0,6,0.2,-0.88,19.963,0.041,279,480,0.99078,2.78,0.56,6.7,-1,1
4,6.8,0.27,-2.64,7.8,0.048,-76,128,0.97267,3.09,0.92,9.5,0,2
2,7.6,-0.77,0.69,-54.6,-0.098,21,-276,1.03829,3.04,-0.92,9.4,-1,1
0,-0.3,1.125,-0.68,1.3,0.08314,140,60,1.01696,3.75,0.35,15.7,0,1.19
3,11.7,-2.7,1.73,-7.6,0.019,15,93.23,1.06355,2.48,2.17,11.2,-1,2
4,6,1.755,1.4,9,0.038,38.28,63,0.96535,3.36,-1.27,6.4,1,2
2,7.6,1.59,0.78,-57.1,0.043,23,-16,0.99236,3.06,1.39,10.5,-1,1
2,6.4,-0.57,0.37,-15.2,-0.069,-143,77,0.99817,3.21,0.53,9.4,-1,2
3,18.9,-0.96,0.44,-50.2,0.033,54,170,0.998,4.59,0.53,3.5,0,1
3,-0.1,0.39,0.16,-12.1,0.08,11,76.8,0.9955,3.34,-1.05,5.1,0,1
3,10,0.46,0.41,9.8,0.178,580,168.55,0.9905,2.12,-0.34,9,0,2
3,7.4,0.35,1.14,13.9,-0.034,63.325,165.335,0.96506,2,1.91,19,-1,1.83
4,7.1,1.27,1.33,69.25,-0.403,47,164,1.03313,3.34,0.78,9.1,0,2
4,1.7,0.52,1.12,4.4,0.117,142,32,0.99646,3.38,0.63,11.6,0,3
2,6.8,-0.2,0.27,7.434,-0.655,-336,714,0.9498,3.3,-1.13,2.5,-1,2
4,7,-0.55,0.84,4.1195,0.515,-327,136,0.9938,3.3,-0.38,9.4,0,2
0,4.2,2.055,-0.91,2.5,-0.379,-0.86,151,0.97799,3.53,0.57,5.3,-1,1.21
6,6.7,1.77,0.26,7.9,-0.378,147,59,0.99192,2.99,1.28,5.8,1,2
5,7.2,0.31,0.21,8.6,-0.457,15,-512,1.00561,3.7,-0.79,9.9,1,3
2,18.7,0.22,-0.91,1.5,0.051,18,244,0.9928,2.05,1.38,8.8,-1,2
4,7.4,0.39,1.04,7,-0.456,236,66,0.97414,2.25,0.08,4.5,1,2
3,18.6,0.68,0.86,1.4,-0.398,177,-260,0.98341,2.4,0.11,11.4,0,1.68
0,7.7,1.55,-0.07,3.5,0.203,5,275,0.99135,2.01,1.08,18.1,0,1
2,7.3,0.59,0.26,12,0.07,309,121,0.9981,3.37,0.49,9.1,-1,1.56
4,15.2,0.24,0.29,34.5,0.339,18,122,1.02217,4.58,0.42,10.269,1,2.06
4,-0.6,0.14,0.49,5.9,0.053,337,-481,0.9954,3.36,0.4531,9.4,0,2
5,10.8,0.305,-1.27,1.1,0.369,40,506,0.95972,3.33,0.56,10.6,1,3
5,-1.3,-0.58,0.34,0.6805,0.042,63,123,0.99052,3,2.13,11.4,1,1
5,7.2,2.82,-0.84,29.9,0.588,175,878,1.03659,4.09,0.78,3.3,2,2
3,8.1,0.2,0.28,7.5,0.04,70,230,1.04464,3.94,-1.22,3.2,-1,1
0,8.1,0.785,0.52,5.2,0.676,-9,496,0.9969,3.21,0.69,9.3,1,1.38
4,2.2,-2.43,-0.04,11.6,0.032,34,-151,0.9963,3.05,0.51,9.8,0,2
3,12.8,0.33,0.32,-45,0.496,38,138,0.93645,2.46,-1.21,16.2,-1,1
4,6.8,0.24,-0.23,37.65,-1.146,59,26,0.95877,2.95,-1.24,11.937,0,1
4,7.6,1.73,-1.24,46.2,0.091,8,38,1.01264,3.55,-0.22,5.8,0,3
5,6.6,0.22,0.36,5.5,-0.344,19,105,1.04361,4.01,0.47,5,1,2.77
5,11.8,0.21,0.32,86.1,0.264,179,470,0.98667,2.51,1.15,10,0,3
0,13.6,0.06,0.61,1.6,0.088,146,-207,1.00318,4.56,-1.15,11.3,-1,1.24
3,4.2,0.24,0.61,7.9,-0.144,258,149,0.99545,3.35,0.52,6.4,0,1.55
0,-0.3,0.31,-1.31,2.6485,0.038,18,-575,0.9928,3.36,0.63,10.3,1,1.47
0,7.4,0.53,0.99,1.9,0.505,4,12,1.02216,3.26,-0.9,10.546,0,1.29
0,-0.9,0.69,0.31,68.2,0.304,20.635,132,0.9944,3.51,1.65,9.6,1,1.23
4,10.6,0.15,2.21,5.9,0.045,75,-68,0.9983,3.1156,0.4,9.3,1,3
2,6.4,0.63,0.21,1.6,-0.394,-246,32,1.03408,3.58,2.01,9.8,-1,1.33
4,6.8,0.33,-0.89,47.3,0.283,379,732,0.99226,3.06,-0.4,12.2,0,1
4,10.6,0.13,0.38,5.1,-0.002,19,-171,0.99122,3.36,1.23,14.5,0,1
5,0.2,0.3,0.68,64.6,-0.367,-213,123,0.9406,0.92,0.45,9.2,1,2
0,6.1,0.81,0.47,1.4,0.049,-128,187,1.03597,3.19,-0.61,12.8,-1,1
0,9.3,1.785,0.27,-31.4,0.796,7,56,0.9984,3.56,0.67,10.6,-2,1.28
3,5.5,0.13,0.39,-5.1,0.042,36,310,0.995,3.36,0.4403,11.9,-2,1
5,6.7,-0.4,0.68,-0.2,-0.161,36,92.375,0.99064,3.19,-1.51,11.7,0,3
4,7.2,0.27,0.28,15.2,0.243,213,41,0.99665,2.05,-0.85,14.7,0,2.14
5,-2.8,-1.24,0.58,7.4,0.044,56,270,1.01721,3.22,0.48,9.3,1,2
5,6.9,0.46,0.2,0.9,0.309,5,350,1.01844,3.1,0.34,10.4,1,3
4,5.3,-1.29,1.37,-89.6,0.036,304,-273,1.00039,3.09,-0.5,5,0,2
2,3.2,-0.07,-0.09,11.9,0.171,91,230,0.9972,3,0.37,6.2,-1,2
0,-2.9,0.45,0.07,31,0.03,-116,131,0.9905,3.57,0.28,6.5,1,1.34
0,6.2,-0.8,0.04,59.4,0.06,-220,108,0.97668,2.27,0.35,9.2,0,1.32
6,6.1,0.28,1.36,-46.6,0.03,56,435,0.99042,3.01,-0.43,7.7,0,2.72
0,8.6,-0.49,0.62,2.6,0.082,6,21,0.9895,2.36,0.5756,9.7,1,1
4,16.3,0.24,-1.43,6.7,-0.531,-93,-120,0.9963,2.67,0.7159,9.8,0,2
4,2.1,0.22,0.22,16.65,0.435,39,482,0.97568,4.43,1.84,9,0,1
0,12.6,1.8,1.32,2,-0.036,-125,43,0.9593,3.35,0.58,17.7,0,1.33
7,8.8,-0.44,0.35,4.8,0.03,-85,261,1.01556,3.36,0.6,16.3,1,4
4,6,0.34,1.79,5,-0.511,54,848,1.03631,3.28,0.52,11,0,2.12
4,6.8,0.26,1,1.5,0.047,479,96.29,0.95038,3.12,1.19,10.5,0,2
4,2.2,0.32,2.47,31.3,0.353,24,-5,0.99611,2.54,1.21,6.4,1,3
2,6.3,0.27,0.51,-38.5,-0.043,-225,200,0.97582,0.82,0.3515,9.484833333333,0,1.65
5,7.3,1.22,0.27,70.9,0.03,-244,108,0.99388,3.2,0.36,11.6,1,2.43
0,8.2,1.75,0.29,60.9,0.081,27,217,0.99603,3.74,-0.32,4.2,-2,1.33
3,11.1,0.28,0.05,-33.8,0.047,42,-287,0.95335,3.1,-1.15,8.9,-1,2
3,6.7,-0.1,-1.21,9.2,0.181,179,150,0.98196,3.22,-0.17,10.9,0,1
4,8.5,0.27,0.55,3.9,-0.23,28,245,1.04612,3.195,2.05,11.2635,1,1
4,6.8,0.24,0.82,18.3,0.046,40,-135,1.00576,3.3,0.27,8.7,1,1
5,8.2,1.5,-1.09,1.8,0.047,-528,529,1.08106,3.29,1.15,13.4,1,2
2,13.2,0.46,1.52,-11.4,0.353,-263,150.24,1.00086,3.35,0.74,10.1,-1,1
3,14.3,-0.38,0.9,-103.3,-0.533,37,359,1.01753,3.08,0.46,9.9,-1,2
3,2.3,0.21,0.78,7.5,0.299,-204,503,0.9966,3.34,-1.23,11.2,0,1.82
6,10.3,-2.59,0.36,37.4,0.035,204,-196,0.9891,4.18,0.64,12.1,1,4
4,17,0.58,1.86,-13.5,-0.797,28,554,0.9946,3.33,4.1,5.1,0,2
1,7.5,1.47,0.09,1.3,-0.034,235,149,0.9948,3.08,0.09,10.498,-2,2
2,-3.2,1.18,-0.71,11.8,0.62,33,157,1.03323,3.8,0.31,12,-1,3
4,7.2,0.23,-0.48,2.3,0.033,282,102,0.9908,3.33,0.54,6.4,-1,2
4,5.7,-1.16,0.22,36.8,-0.524,50,125,0.99571,3.2,0.13,10.1,0,2
0,14.1,1.7,0.1,60.3,-0.259,194,13,0.99855,3.96,0.49,9.5,1,1.28
3,5.8,0.4,0.02,29.2,0.047,-392.5,-38,1.07757,2.95,0.4847,9.6,-1,1
4,0,1.47,0.5,11.5,0.045,-22,-184,0.9944,3.44,0.31,10.4,0,1
0,6.4,0.27,0.3,1.6,-0.247,19,411,0.99089,3.12,-0.58,7.5,0,1
2,2,0.68,0.22,12.547,-0.296,-266,144.25,0.99675,3.2,0.51,8.5,-1,2
5,17.4,0.48,0.93,43.1,0.254,-191,154,0.9967,3.05,0.3326,9,2,3
4,6.9,3.08,-0.25,4.187,0.052,145,146,0.94293,2.67,1.97,10,0,2
5,10.9,0.22,0.31,-61.4,0.296,91,123.87,1.00758,4.01,-0.64,13,0,3
0,9.3,-0.14,0.39,1.5,-0.166,41,-291,0.95522,4.16,1.02,10,-1,1.21
5,7.9,-1.15,-0.7,-7.7,0.05,-47,565,0.99612,3.07,2.07,15.7,1,3
3,6.4,-0.19,0.44,3.6,0.043,76,247,0.99551,3.18,0.48,8.72233333333,0,1
3,8.6,1.06,-0.62,-5.774,0.643,16,109,0.98873,2.17,1.2,10.8,0,1
7,7.1,-0.51,-0.95,14.4,-0.058,35,-6,0.9986,3.07,0.53,5.6,2,3
2,12.2,0.23,-0.18,2.1,0.027,-160,281,0.99054,2.37,1.98,17.7,-2,1
0,7.2,1.07,0.44,9,0.071,-236,68,0.9992,4.4,0.63,9.5,-1,1.28
4,6.3,1.29,0.22,1.5,0.563,-47,478,0.99238,2.68,0.6546,10.2,1,3
0,-4.3,0.98,-0.64,1.7,-0.059,51,148,0.9916,3.21,0.44,11.5,0,1.14
4,3,0.17,0.17,27.4,0.049,26,378,0.90692,3,0.38,16.9,0,3
4,5.8,1.4,-0.02,2,0.043,39,-149,0.99226,3.2524,0.4978,7.5,0,1
5,16.5,1.27,0.42,6.6,0.493,-204,185,0.98599,2.98,-0.39,9.6,0,3
4,6.6,-0.11,-0.49,-11.8,0.308,48,143,0.9912,3.06,0.52,12.4,-1,1
7,14.5,0.83,0.3,52.6,0.042,37.98,104,0.9911,1.58,-0.96,6.4,2,3
2,5,0.5,0.14,1.8,0.033,10,23,1.02219,3.53,0.61,10.913,-1,1.31
5,6.5,0.29,-1.21,28.65,0.051,29,529,1.00631,3.62,0.25,11.35,1,2
0,6.4,0.47,0.95,5.377,-0.048,-85,111,0.95715,3.56,-0.75,10.6,0,1
0,7.3,-0.745,0.39,1.2,-0.323,7,11,0.94193,3.29,1.66,11.5,0,1.25
8,7.7,0.19,0.27,-33.2,0.057,512,155,1.04268,2.94,0.41,11,2,3
4,9.2,-0.52,-0.73,10.4,-0.071,129,-353,0.99203,4.02,0.37,10.6,1,3
4,0.3,-1.435,-0.82,-12.45,0.047,16,81,1.00677,3.23,0.53,18,-1,4
5,0.4,-0.05,0.08,22.7,-0.442,29,86,0.9942,3.41,-0.67,11,0,4
3,1.5,0.41,0.02,0.9,0.09338,32,-214,1.02278,3.14,-0.89,5.5,1,2
3,-5.5,0.31,0.47,-39.8,0.053,46,144,0.96456,3.29,-1.86,4.5,0,2
0,6.2,0.42,0.34,1.1,0.03,-131,613,1.00296,1.24,0.45,8.3,-1,1
4,-1.9,2.66,0.32,-3.6,-0.133,36,132,1.0084,3.38,0.3,12,-1,2
3,7.1,0.4,0.52,1.3,0.148,45,149,0.99709,3.08,0.5567,8.7,0,3
3,7,-1.17,0.33,1.15,0.044,15.5,102.65,1.02005,2.67,0.44,8,-1,1.91
0,8.9,-0.53,-0.33,1.8,-0.085,10,-79,0.99552,3.41,0.76,7,-1,1.21
5,16.8,1.6,0.85,60.3,0.874,43,285,0.94353,3.61,0.43,10.2,1,2
6,7.9,3,0.4,8.1,0.046,68,199.23,0.99494,2.47,0.5,9.5333333333,2,2
3,-8.1,0.28,0.46,15.4,0.069,-361,177,1.0004,3.27,0.91,9,1,2
4,5.9,1.08,0.32,6.4775,0.622,220,457,1.02225,3.27,1.27,10.2,0,1
3,15.2,0.305,0.22,54.5,0.061,62,115,0.98963,3.08,0.5354,11.47743333333,0,1
1,6.9,2.43,0.22,-31.3,-0.037,233,-34,0.97732,2.1,-0.66,11.6,-1,1.45
3,7.5,0.41,0.23,28.2,0.919,421,320,0.99928,3,0.49,9.7,0,2
3,5.8,1.51,0.38,49.7,0.037,3,132,0.9904,3.28,0.06,10.75716666667,1,3
3,7.6,0.49,1.69,1.9,0.074,179,351,0.99706,3.2019,0.5032,5.6,0,1
4,-0.6,0.69,0.49,-30.9,0.676,20,112,0.9968,3.21,0.5136,9.3,1,2
0,7,0.24,1.61,53.1,0.04,41,45,1.0034,4.06,0.6139,17.6,-1,1.29
3,18.4,0.19,0.33,-11.5,0.331,42,127,1.01062,4.58,0.4604,12.2,-1,1.645
2,-0.7,1.64,0.8,8.6,-0.024,21,150,1.03168,3.06,0.46,10.3,-1,2
2,3.9,0.16,-1.49,1.5,-0.089,-447,481,0.99076,3.43,0.7132,12,-2,3
1,13.2,0.27,0.29,-15.3,-0.036,6,-14,0.99763,2.81,0.54,10.6,-1,1.11
3,-0.3,0.925,0.22,-40.3,-0.496,71,84,0.98972,3.06,0.57,10.1,0,2
4,13.9,0.14,-0.28,1,-0.546,-358,81,0.99043,4.04,0.54,11.4,0,2
4,6.2,0.3,-0.01,-62.8,0.22,27,183,0.99648,3.3,0.29,12.7,1,2
